正方元锦江国际饭店,14624
建国饭店,14313
大河锦悦酒店,12234
丰乐园酒店,15165
海容大酒店,13946
河南天地粤海酒店,13295
中州皇冠假日酒店,15418
弘润华夏大酒店,14715
五洲大酒店,15505
永和铂爵国际酒店,15423
郑州未来大酒店,13180
中油花园酒店,13078
紫荆山宾馆,14345
喜鹊愉家旅馆(郑州中州大道店)(原东风路店),16770
郑州陌上酒店,14821
郑州悦际酒店,14837
仟那映唐酒店(郑州高新区店),15548
枫酒店(郑州花园路店),15668
大浪淘沙时尚酒店(郑州动物园店),13761
郑州光华大酒店,15480
仟那雅悦酒店(郑州高新区瑞达路店),16113
郑州金融大酒店,15648
纳澜优舍酒店(郑州CBD会展中心店),15199
郑州国信酒店,14996
仟那酒店(郑州二七路店),16033
仟那酒店(郑州中州大道店),15718
郑州红旗渠酒店,15038
禅月酒店,12891
璞华酒店(郑州花园路店)(原豫粮大酒店),14397
郑州梦工厂影院酒店(原梦工厂精品酒店),15692
半亩城宿酒店(郑州东站会展中心店),14476
世纪星精品酒店(郑州花园路国贸360店),14859
郑州山河宾馆,15236
河南金质大酒店,14118
尚茉酒店(郑州CBD会展中心店),16042
安泰精品酒店(郑州CBD会展中心高铁站店),14992
郑州斯维登服务公寓(省人民医院璞丽),15397
栖桐酒店(郑州CBD会展中心店),14652
郑州景峰豪悦酒店,15671
郑州凯润商务酒店,12907
郑州佰利酒店,15397
郑州禧来假日酒店,14766
郑州豫鹰宾馆,15408
郑州中天迎宾馆,15438
河南德亿大酒店,15764
郑州豫棉宾馆,14586
非繁・印象酒店(郑州国基路店)(原沙门地铁口店),14434
郑州桃李园大酒店,17220
